Date,pm25_median,pm10_median,no2_median,so2_median,co_median,o3_median,temperature_median,humidity_median,wind-speed_median,AQI,Category,Month,DayOfWeek,Season,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,PM25_PM10_ratio,PM25_Wind_Ratio,Stagnation_Index,Gaseous_Index,Thermal_Humidity_Index
2023-01-13,17.65,22.39,23.28,39.48,0.11,35.56,24.9,60.8,10.87,49.4,Good,1,4,Winter,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.7882983474765519,1.623735050597976,1.6089334548769372,63.86,15.139199999999999
2023-08-07,17.68,35.21,36.89,37.72,0.81,17.79,23.1,51.8,7.84,47.1,Good,8,0,Summer,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.5021300766827606,2.2551020408163267,2.2267002518891688,82.71000000000001,11.965800000000002
2023-04-22,35.58,73.0,72.82,57.71,1.65,92.87,29.9,64.7,8.54,93.0,Satisfactory,4,5,Spring,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.48739726027397257,4.166276346604215,4.118055555555556,147.03,19.345299999999998
2022-06-25,135.06,390.89,349.52,1443.93,22.75,524.12,17.2,81.2,2.47,380.7,Very Poor,6,5,Summer,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.3455191997748727,54.68016194331983,52.552529182879375,2020.95,13.9664
2022-02-02,82.78,184.44,142.09,216.9,8.42,124.9,30.4,51.2,3.86,180.4,Moderate,2,2,Winter,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.44881804380828455,21.44559585492228,20.904040404040405,443.19,15.5648
2022-05-10,25.88,31.32,32.2,23.84,0.45,30.25,27.3,40.0,9.42,43.1,Good,5,1,Spring,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.826309067688378,2.7473460721868364,2.7184873949579833,60.540000000000006,10.920000000000002
2021-01-23,109.93,320.54,238.95,533.11,15.29,180.77,14.5,54.4,3.45,275.8,Poor,1,5,Winter,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.34295251762650525,31.86376811594203,30.96619718309859,924.9599999999999,7.888000000000001
2021-06-06,178.58,399.52,330.76,1521.67,20.26,365.68,9.5,71.0,1.99,390.3,Very Poor,6,6,Summer,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.4469863836603925,89.73869346733669,85.44497607655504,2055.03,6.744999999999999
2021-06-22,93.88,250.93,269.01,483.35,10.66,185.17,36.9,49.0,1.67,289.1,Poor,6,1,Summer,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.374128242936277,56.21556886227545,53.039548022598865,858.96,18.081
2021-11-18,89.52,148.87,173.58,332.94,5.05,124.85,18.0,38.1,3.51,198.4,Moderate,11,3,Autumn,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.6013300194800832,25.504273504273506,24.797783933518005,557.02,6.8580000000000005
